File:Sim_5.txt has rejection ratio 0.02001953125 and time taken 0 min, 4 sec
File:Sim_6.txt has rejection ratio 0.0198828125 and time taken 0 min, 2 sec
File:Sim_7.txt has rejection ratio 0.021484375 and time taken 0 min, 4 sec
File:Sim_8.txt has rejection ratio 0.0209765625 and time taken 0 min, 2 sec
File:Sim_9.txt has rejection ratio 0.0208984375 and time taken 0 min, 4 sec
File:Sim_0.txt has rejection ratio 0.030975390625 and time taken 0 min, 36 sec
File:Sim_1.txt has rejection ratio 0.031401171875 and time taken 1 min, 16 sec
File:Sim_0.txt has rejection ratio 0.03091484375 and time taken 0 min, 32 sec
File:Sim_1.txt has rejection ratio 0.031821484375 and time taken 1 min, 10 sec
File:Sim_2.txt has rejection ratio 0.032569140625 and time taken 1 min, 44 sec
File:Sim_3.txt has rejection ratio 0.0336103515625 and time taken 2 min, 18 sec
File:Sim_4.txt has rejection ratio 0.0345470703125 and time taken 2 min, 50 sec
File:Sim_5.txt has rejection ratio 0.035526171875 and time taken 3 min, 24 sec
File:Sim_6.txt has rejection ratio 0.036438671875 and time taken 3 min, 58 sec
File:Sim_7.txt has rejection ratio 0.037559375 and time taken 4 min, 30 sec
File:Sim_8.txt has rejection ratio 0.038740234375 and time taken 5 min, 4 sec
File:Sim_9.txt has rejection ratio 0.040155859375 and time taken 5 min, 36 sec
File:Sim_10.txt has rejection ratio 0.041384765625 and time taken 6 min, 10 sec
File:Sim_11.txt has rejection ratio 0.0426728515625 and time taken 6 min, 42 sec
File:Sim_12.txt has rejection ratio 0.044362109375 and time taken 7 min, 16 sec
File:Sim_13.txt has rejection ratio 0.046016015625 and time taken 7 min, 48 sec
File:Sim_14.txt has rejection ratio 0.0478619140625 and time taken 8 min, 22 sec
File:Sim_15.txt has rejection ratio 0.049741796875 and time taken 8 min, 58 sec
File:Sim_16.txt has rejection ratio 0.052228515625 and time taken 9 min, 34 sec
File:Sim_17.txt has rejection ratio 0.054490625 and time taken 10 min, 12 sec
File:Sim_18.txt has rejection ratio 0.0570572265625 and time taken 10 min, 46 sec
File:Sim_19.txt has rejection ratio 0.05982421875 and time taken 11 min, 20 sec
File:Sim_20.txt has rejection ratio 0.06292578125 and time taken 11 min, 52 sec
File:Sim_21.txt has rejection ratio 0.067014453125 and time taken 12 min, 24 sec
File:Sim_22.txt has rejection ratio 0.0708150390625 and time taken 12 min, 58 sec
File:Sim_23.txt has rejection ratio 0.0750552734375 and time taken 13 min, 30 sec
File:Sim_24.txt has rejection ratio 0.08194375 and time taken 14 min, 5 sec
File:Sim_25.txt has rejection ratio 0.089755859375 and time taken 14 min, 37 sec
File:Sim_26.txt has rejection ratio 0.10243046875 and time taken 15 min, 11 sec
File:Sim_27.txt has rejection ratio 0.1209056640625 and time taken 15 min, 43 sec
File:Sim_28.txt has rejection ratio 0.1348361328125 and time taken 16 min, 17 sec
File:Sim_29.txt has rejection ratio 0.1478529296875 and time taken 16 min, 49 sec
File:Sim_30.txt has rejection ratio 0.16152734375 and time taken 17 min, 23 sec
File:Sim_31.txt has rejection ratio 0.174187109375 and time taken 17 min, 57 sec
File:Sim_32.txt has rejection ratio 0.1881462890625 and time taken 18 min, 29 sec
File:Sim_33.txt has rejection ratio 0.2041123046875 and time taken 19 min, 3 sec
File:Sim_34.txt has rejection ratio 0.2228458984375 and time taken 19 min, 35 sec
File:Sim_35.txt has rejection ratio 0.245852734375 and time taken 20 min, 9 sec
File:Sim_36.txt has rejection ratio 0.275459375 and time taken 20 min, 41 sec
File:Sim_37.txt has rejection ratio 0.3164076171875 and time taken 21 min, 15 sec
File:Sim_38.txt has rejection ratio 0.378644140625 and time taken 0 min, 32 sec
File:Sim_39.txt has rejection ratio 0.378681640625 and time taken 1 min, 6 sec
File:Sim_40.txt has rejection ratio 0.378693359375 and time taken 1 min, 40 sec
File:Sim_41.txt has rejection ratio 0.37829765625 and time taken 2 min, 12 sec
File:Sim_42.txt has rejection ratio 0.378286328125 and time taken 2 min, 46 sec
File:Sim_43.txt has rejection ratio 0.3775201171875 and time taken 3 min, 18 sec
File:Sim_44.txt has rejection ratio 0.3780458984375 and time taken 3 min, 52 sec
File:Sim_45.txt has rejection ratio 0.3767833984375 and time taken 4 min, 25 sec
File:Sim_46.txt has rejection ratio 0.376604296875 and time taken 4 min, 59 sec
File:Sim_47.txt has rejection ratio 0.3761927734375 and time taken 5 min, 31 sec
File:Sim_48.txt has rejection ratio 0.375223828125 and time taken 6 min, 5 sec
File:Sim_49.txt has rejection ratio 0.3747798828125 and time taken 6 min, 37 sec
File:Sim_50.txt has rejection ratio 0.3738689453125 and time taken 7 min, 9 sec
File:Sim_51.txt has rejection ratio 0.372805078125 and time taken 7 min, 43 sec
File:Sim_52.txt has rejection ratio 0.3717921875 and time taken 8 min, 15 sec
File:Sim_53.txt has rejection ratio 0.370921484375 and time taken 8 min, 49 sec
File:Sim_54.txt has rejection ratio 0.368906640625 and time taken 9 min, 21 sec
File:Sim_55.txt has rejection ratio 0.36791640625 and time taken 9 min, 55 sec
File:Sim_56.txt has rejection ratio 0.3661662109375 and time taken 10 min, 27 sec
File:Sim_57.txt has rejection ratio 0.3643275390625 and time taken 11 min, 1 sec
File:Sim_58.txt has rejection ratio 0.3631787109375 and time taken 11 min, 33 sec
File:Sim_59.txt has rejection ratio 0.359216796875 and time taken 12 min, 7 sec
File:Sim_60.txt has rejection ratio 0.355069921875 and time taken 12 min, 41 sec
File:Sim_61.txt has rejection ratio 0.3516439453125 and time taken 13 min, 11 sec
File:Sim_62.txt has rejection ratio 0.350678125 and time taken 13 min, 45 sec
File:Sim_63.txt has rejection ratio 0.3512009765625 and time taken 14 min, 17 sec
File:Sim_64.txt has rejection ratio 0.35223046875 and time taken 14 min, 51 sec
File:Sim_65.txt has rejection ratio 0.3532544921875 and time taken 15 min, 23 sec
File:Sim_66.txt has rejection ratio 0.35337578125 and time taken 15 min, 57 sec
File:Sim_67.txt has rejection ratio 0.3534896484375 and time taken 16 min, 29 sec
File:Sim_68.txt has rejection ratio 0.3527083984375 and time taken 17 min, 3 sec
File:Sim_69.txt has rejection ratio 0.3453228515625 and time taken 17 min, 35 sec
File:Sim_70.txt has rejection ratio 0.330615234375 and time taken 18 min, 7 sec
File:Sim_71.txt has rejection ratio 0.3255455078125 and time taken 18 min, 41 sec
File:Sim_72.txt has rejection ratio 0.3296509765625 and time taken 19 min, 14 sec
File:Sim_73.txt has rejection ratio 0.334116796875 and time taken 19 min, 48 sec
File:Sim_74.txt has rejection ratio 0.3385462890625 and time taken 20 min, 20 sec
File:Sim_75.txt has rejection ratio 0.3428283203125 and time taken 20 min, 54 sec
File:Sim_76.txt has rejection ratio 0.347007421875 and time taken 21 min, 26 sec
File:Sim_77.txt has rejection ratio 0.350496484375 and time taken 22 min, 0 sec
File:Sim_78.txt has rejection ratio 0.35476328125 and time taken 22 min, 32 sec
File:Sim_79.txt has rejection ratio 0.3585615234375 and time taken 23 min, 6 sec
